,title,description,release_date,genres,actors,duration,country,productions
287,Choose Love,"The steady boyfriend. The one who got away. The charming rock star. Who will Cami choose? In this interactive rom-com, her love life is in your hands.",2023-08-31,"['Romance', 'Comedy']","['Laura Marano', 'Scott Michael Foster', 'Avan Jogia', 'Jordi Webber', 'Megan Smart']",77,United States of America,"['Front Row Films', 'DAE Light Media', 'DAE Light Media']"
288,Zombie Town,Amy and Mike unearth a centuries-old curse when they decide to watch an exclusive film reel. The duo must track down an infamous filmmaker and navigate a town of hungry zombies to save the world.,2023-09-01,"['Comedy', 'Horror']","['Chevy Chase', 'Dan Aykroyd', 'Henry Czerny', 'Brenna Coates', 'Bruce McCulloch']",93,Canada,"['Trimuse Entertainment Inc.', 'Toonz Media Group', 'Lookout Entertainment', 'Viva Pictures', 'Now Entertainment Group', 'Now Entertainment Group']"
289,Trauma Therapy: Psychosis,"Self-help guru Tobin Vance has been exiled to the UK, avoiding arrest from his US operations. Now, he's secretly running more retreats, with the help of a new assistant Elizabeth, and his acolyte John.",2023-03-23,"['Horror', 'Thriller']","['Tom Malloy', 'David Josh Lawrence', 'Tom Sizemore', 'Hannah New', 'Megan Tremethick']",82,United Kingdom,"['Trick Candle Productions', 'Hex Studios']"
290,The Good Mother,"A journalist and his pregnant girlfriend attempt to track down those responsible for the murder of his estranged son. Together, they confront a world of drugs and corruption in the underbelly of their small city in upstate New York, where they uncover an even darker secret.",2023-08-31,"['Thriller', 'Crime', 'Drama']","['Hilary Swank', 'Olivia Cooke', 'Jack Reynor', 'Dilone', 'Hopper Penn']",89,United States of America,"['SSS Entertainments', 'Syndicate, The', 'Portman Artemis Productions', 'Votiv Films', 'Priority Pictures', 'Vertical Entertainment', 'First Love Films', 'First Love Films']"
291,The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",2023-08-30,"['Action', 'Thriller', 'Crime']","['Denzel Washington', 'Dakota Fanning', 'Gaia Scodellaro', 'David Denman', 'Eugenio Mastrandrea']",109,"Italy, ","['Escape Artists', 'Columbia Pictures', 'Eagle Pictures', 'ZHIV Productions']"
292,Slotherhouse,"Wanting to have a killer year, sorority sister Emily Young realizes she might just be the best option for her sorority. While beginning her campaign, she finds an adorable sloth that steals her heart and soon realizes she just might steal the hearts, and votes, of her sorority sisters. But when bodies slowly begin to pile up in the Sigma Lambda Theta house, Emily and her sorority sisters realize the deaths are being caused by their new house mascot, the cuddly sloth Alpha. Will Emily and her sisters escape the house with their lives? Or is this death-sloth with three razor sharp claws too quick for them?",2023-08-30,"['Comedy', 'Horror', 'Thriller']","['Lisa Ambalavanar', 'Sydney Craven', 'Olivia Rouyre', 'Bianca Beckles-Rose', 'Tiff Stevenson']",93,United States of America,"['Renegade Studios Chicago', 'Talking Wolf Productions', 'Buffalo Speedway Film Company', 'Cinema Relics Productions']"
293,Nandor Fodor and the Talking Mongoose,"In 1935, Hungarian-American para-psychologist Nandor Fodor began his investigation of a strange occurrence on the Isle of Man. An average British family, the Irvings, claimed to have been contacted by a mysterious entity at their farm. A talking mongoose. Named Gef (Pronounced ""Jeff"".)",2023-09-01,"['Mystery', 'Comedy']","['Simon Pegg', 'Minnie Driver', 'Christopher Lloyd', 'Neil Gaiman', 'Paul Kaye']",96,United Kingdom,"['Future Artists Entertainment', 'Phantasm Films', 'Legion M', 'Umbrelic']"
294,King of Killers,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",2023-09-01,"['Action', 'Thriller']","['Frank Grillo', 'Alain Moussi', 'Kevin Grevioux', 'Marie Avgeropoulos', 'Shannon Kook']",91,United States of America,[]
295,Escalation,A former police officer puts aside his differences with the force in order to track down his brother's murderer. He teams with a younger detective to bring the case home.,2023-06-01,"['Action', 'Thriller', 'Crime']","['Chris Mark', 'Nina Kiri', 'Cindy Sampson', 'George Tchortov', 'Milton Barnes']",89,Canada,"['Kemodo Entertainment', 'High Star Entertainment', 'Kemodo Entertainment']"
296,All Fun and Games,"Two kids play a game with their sadistic older cousin and awaken a cruel entity knows as ""The Skarrow.""",2023-08-30,"['Horror', 'Thriller']","['Asa Butterfield', 'Natalia Dyer', 'Benjamin Evan Ainsworth', 'Laurel Marsden', 'Keith David']",76,"United Kingdom, ","['Anton', 'AGBO', 'CAA Media Finance']"
297,Scheme Queens,Four friends who are down on their luck decide to rob a ruthless Rastafarian jewel thief by conning his second in command.,2022-06-03,['Crime'],"['Nicole Acosta', 'Sean Anthony Baker', ""Brii Renee'"", 'Javarius Conway']",94,United States of America,['Nina Holiday Entertainment']
298,The Great Seduction,"When a golden opportunity arises to boost the fortunes of a forgotten fishing town, its residents set out to trick their way to making it happen.",2023-08-30,"['Comedy', 'Romance']","['Yalitza Aparicio', 'Guillermo Villegas', 'Joaquín Cosío', 'Héctor Jiménez', 'Eligio Meléndez']",94,Mexico,"['Pimienta Films', 'Cuadernos de Cine']"
299,Weredeer,"Max and his girlfriend Hannah travel to the rural South to spend Christmas with Max's eclectic family. When Hannah gets bitten by a deer, strange things begin to occur.",2022-02-25,"['Comedy', 'Horror']","['Blair Hoyle', 'Anna Broadway', 'Tyler Stafford', 'Jordyn Tracy', 'John Lineberry']",70,United States of America,[]
300,Walking Against the Rain,"Two strangers, Blair and Tommy, are navigating their way across a barren landscape in a desperate attempt to find each other. With their only form of communication being two soon-to-die battery operated radio mics and with a new evil in the shape of 'The Forsaken' tracking them down, they must learn to confront loss and rediscover a trust in humanity.",2022-08-27,"['Horror', 'Drama', 'Fantasy']","['Francesca Louise White', 'James Swanton', 'Reece Douglas', 'Sophia Eleni', 'Johnny Vivash']",94,United Kingdom,['Crossroad Pictures']
301,Vanished in Yosemite,"While vacationing in Yosemite, sisters Katrina and Jennifer meet the perfect guy: handsome Rick. Smitten, Katrina is certain she has met Mr. Right; however, when Katrina goes missing deep in the Yosemite wilderness, Jennifer suspects kidnapping and sets out to rescue her sister.",2023-08-26,"['TV Movie', 'Thriller', 'Mystery']","['Skye Coyne', 'Kelcie Stranahan', 'Rob LaColla Jr.', 'Jason Tobias', 'Mackenzie Possage']",85,United States of America,['Johnson Production Group']
302,Trafficking,"Fresh out of prison, a former debt collector working for a gangland boss is told he has a terminal brain tumour. In an attempt to atone for his past he rescues a young girl from trafficking, forcing him into a deadly game of cat-and-mouse with his boss.",2023-04-24,"['Crime', 'Drama', 'Thriller']","['Evie Hughes', 'Michael McKell', 'Nicholas Ball', 'Noel Brendan McAlley', 'Steve Wraith']",96,United Kingdom,"['Hello Princess', 'Lytton Bros. Pictures']"
303,This Hits Home,"This Hits Home is a feature length documentary that reveals the invisible and silent epidemic of permanent traumatic brain injury in women devastated by domestic violence. The intimate and compelling stories of courageous women, insights from lawmakers and domestic violence authorities, and the shocking revelations from world renowned experts combine to paint a chilling portrait of brain injury that forever changes the lives of one in every four women and their children.",2023-05-16,['Documentary'],[],75,United States of America,['Scotia Entertainment']
